mixture_id,speaker1_id,speaker2_id,SDR,SIR,SAR,PESQ
121,id04276,id04295,-10.402565731117152,7.043467039479298,-9.51714243978852,1.0392079949378967
122,id04570,id05176,-9.830591932219352,9.122709553416882,-9.261829927367764,1.0473506450653076
123,id04862,id07414,-10.814154050315114,5.468366024289518,-9.416055061077776,1.0412687063217163
124,id04950,id07396,-10.404937470878572,8.16092526304328,-9.714947690731627,1.0362936854362488
125,id04030,id05015,-13.631425255756197,1.1484672736170336,-10.645644701796632,1.034820556640625
126,id04030,id07414,-11.502444909723128,7.187470394104402,-10.680580809234032,1.0306295156478882
127,id05850,id05999,-11.363508668086006,5.761137879845627,-10.234329646527298,1.049809992313385
128,id04030,id06913,-7.774800709284956,8.601011841749148,-7.111682585435812,1.0484737157821655
129,id03980,id05124,-9.230201667770299,11.582491871332238,-8.886746357844608,1.0513380765914917
130,id04862,id05202,-8.704961135481906,9.385150710017818,-8.14886194083882,1.066269874572754
131,id04656,id05055,-11.008134200392654,9.510974149572613,-10.48449996686922,1.0466901659965515
132,id04006,id07354,-9.018360937766497,8.651713341064735,-8.383461178305852,1.0474511981010437
133,id05202,id05999,-10.37688944002786,9.746133419166986,-9.882760063224964,1.0355606079101562
134,id03978,id07414,-11.579262861399044,5.057810120901618,-10.294781068058441,1.0399483442306519
135,id05176,id06484,-10.1562434074124,9.52978956901364,-9.607108784508316,1.0601027011871338
136,id04295,id07312,-10.586931390673548,5.519869685620149,-9.273160431098237,1.0350524187088013
137,id06209,id07396,-7.782812090271568,10.211413376188904,-7.272800509249181,1.0688233375549316
138,id04006,id07396,-8.39727297677043,10.425779207260632,-7.960779807460463,1.035254418849945
139,id03789,id06484,-13.337549258695244,0.4885778745424709,-10.37766819192064,1.031140685081482
140,id03862,id04253,-9.435728496389158,8.664300842044392,-8.806339434594083,1.0370274186134338
141,id06484,id06816,-10.453961102207556,9.341491262616564,-9.92674619865645,1.0399625897407532
142,id03677,id04536,-10.680990919862229,9.434964183436074,-10.155758167405239,1.0444587469100952
143,id03677,id05850,-8.662438356413913,11.36073483378204,-8.300951718297858,1.0552324652671814
144,id04478,id05714,-8.758477726754652,9.049962776347353,-8.1695638189097,1.0718207359313965
